상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3130066,행당시장상점가,전통시장,1.0393272421778477,18.807961178459458,19.847288420637305,416454770,0,1.0567287102356282,0.08957596319058833,9,1.0,False,False
3110227,답십리공원,골목상권,1.0432430401898287,17.63035943519495,18.67360247538478,128778247,0,1.0379037278056533,0.1628516979092078,9,1.0,False,False
3130311,새마을시장,전통시장,1.0433706591127638,18.333696312517716,19.37706697163048,260227542,0,1.1443950403258119,0.12828671662634747,9,1.0,False,False
3110433,공릉역 2번,골목상권,1.044723110928473,17.94653960906351,18.991262719991983,176929643,0,1.1834407840706507,0.14092112684057015,9,1.0,False,False
3130010,종로신진시장,전통시장,1.0486429793839562,17.97350680298254,19.022149782366498,182479752,1,1.0192380621952073,0.12155639293282652,9,0.5,False,False
3120102,서교동(홍대),발달상권,1.0571188127793967,20.511010739282042,21.56812955206144,2327660567,0,0.9081520820058727,0.12304640991437168,9,1.0,False,False
3110354,삼각산119안전센터,골목상권,1.062788164682388,17.55236326890138,18.61515143358377,121466787,0,0.9436033723032184,0.226158904160006,9,1.0,False,False
3130260,신대방1동골목상권,전통시장,1.0637443820656642,17.99255842843923,19.056302810504896,188819635,0,0.9891328755137311,0.11195852092807723,9,1.0,False,False
3120045,남영동 먹자골목,발달상권,1.0775067670853282,19.95018103495715,21.02768780204248,1355841052,0,0.8571915705704412,0.1504852482327516,9,1.0,False,False
3110151,자양한강도서관,골목상권,1.078158904391021,17.801125782332797,18.879284686723818,158186406,1,1.204090935765194,0.1146469855819216,9,0.5,False,False
3110875,보라매동주민센터(당곡고등학교),골목상권,1.0821685164097943,17.95296597183611,19.035134488245905,184864648,0,0.29969833121110806,0.6545698617401784,9,1.0,False,False
3110966,논현2동주민센터,골목상권,1.0843457658377353,18.294925757889775,19.37927152372751,260801860,0,1.1905751481601206,0.11685796178790082,9,1.0,False,False
3110703,개봉역,골목상권,1.0984855580016166,18.034093951459248,19.132579509460864,203785699,0,1.1490228194225267,0.08685538594506231,9,1.0,False,False
3110810,영신초등학교,골목상권,1.0996929331015757,17.907874693292275,19.00756762639385,179838111,0,1.1068527496991665,0.08848903062587628,9,1.0,False,False
3130295,인헌시장(원당종합시장),전통시장,1.1010718060057094,18.09232870953878,19.19340051554449,216564831,1,0.7776742906192801,0.2539970017778648,9,0.5,False,False
3111020,방이동고분군(방산고등학교),골목상권,1.1067630369012385,18.00891491525413,19.11567795215537,200370347,0,1.09471820538746,0.1209191503968192,9,1.0,False,False
3120151,보라매공원,발달상권,1.109419750111858,20.792561901019063,21.90198165113092,3250197663,0,1.0120827021420535,0.09837255890839244,9,1.0,False,False
3110180,광진정보도서관,골목상권,1.1139230334219974,18.32366241944978,19.437585452871776,276462418,0,1.2100825726575175,0.16817455465980524,9,1.0,False,False
3120236,장지역(가든파이브),발달상권,1.1173756796857077,20.27060907584756,21.387984755533267,1943944037,0,1.1064779674907708,0.08127122061186422,9,1.0,False,False
3120204,르네상스호텔사거리,발달상권,1.1184120393392654,20.876587144094064,21.99499918343333,3567030105,0,1.069784765564965,0.0673256022381611,9,1.0,False,False
3120052,성수역,발달상권,1.1190459092757656,20.74807002980367,21.867115939079437,3138829946,1,0.845491470930766,0.15239650517727157,9,0.5,False,False
3110865,남강고등학교(남강중학교),골목상권,1.1284175736486048,18.503934414452676,19.63235198810128,335909382,0,1.0976160415109493,0.07821405081266587,9,1.0,False,False
3130241,선유도역 골목형상점가,전통시장,1.1295130884533435,18.561849789614048,19.69136287806739,356328236,0,0.9085403653467223,0.157651431351877,9,1.0,False,False
3110503,명지대학교교회,골목상권,1.134035062227035,18.16831120842562,19.302346270652656,241491846,1,1.2312696858897096,0.11829302173776611,9,0.5,False,False
3110225,촬영소사거리,골목상권,1.1347850890876003,17.56398880772146,18.69877389680906,132060920,0,1.1701412346954339,0.08165509887018668,8,1.0,False,False
3110757,양평역 2번,골목상권,1.1377283370851075,18.205878396648767,19.343606733733875,251664329,0,0.8812019975364724,0.14374235454718565,9,1.0,False,False
3110542,마포구청역 7번,골목상권,1.1378545658257373,18.257293485560353,19.39514805138609,264975532,0,1.159263683698055,0.06031372734955003,9,1.0,False,False
3110061,효창동주민센터,골목상권,1.1400692376923516,18.119104635658157,19.25917387335051,231287913,0,0.4524981309077596,0.6940817659254235,9,1.0,False,False
3110040,중구회현체육센터(정화예술대남산캠퍼스),골목상권,1.1458081191683114,17.896707916656865,19.042516035825177,186234284,0,0.798229488311099,0.18625009896196137,9,1.0,False,False
3110295,정릉우체국,골목상권,1.1489194336544735,17.961531339696926,19.1104507733514,199325708,0,0.9891834374847662,0.15784954117620548,9,1.0,False,False
3120030,중부경찰서(영화인의거리),발달상권,1.1737528136682656,20.212076661820042,21.385829475488308,1939758805,1,1.1532698282190057,0.09369009430844998,9,0.5,False,False
3130099,전농로터리시장,전통시장,1.1824500696342,17.57886821685277,18.76131828648697,140584358,0,1.255324979857838,0.1956713739966214,9,1.0,False,False
3120093,연희동,발달상권,1.1825451260877955,20.517690688186722,21.700235814274517,2656395097,0,1.0800095335654047,0.1308473959047773,9,1.0,False,False
3110824,대방역 3번,골목상권,1.1886698319138453,17.932448428403514,19.12111826031736,201463394,0,0.8764450661702882,0.1557045555703914,9,1.0,False,False
3111057,천호공원(해공체육문화센터),골목상권,1.1897922599294262,17.990909916713264,19.18070217664269,213832204,0,0.3266649514997779,0.37180399489804583,9,1.0,False,False
3110554,망원역 1번,골목상권,1.1914745984061632,18.267394005691198,19.45886860409736,282409471,0,1.225852499506039,0.16767781291404765,9,1.0,False,False
3120028,명동(명동거리),발달상권,1.197111508998539,21.800496526136286,22.997608035134824,9721522073,0,1.2392975139560183,0.06323863339697333,9,1.0,False,False
3120008,인사동,발달상권,1.1976896333897145,20.620970396705463,21.818660030095177,2990361230,26,1.4524805077291179,0.12131134017981336,9,0.037037037037037035,False,False
